"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"SI","2018-09-28","97.3","-1.2709","6.3165","Jordan Hicks",623520,663855,"walk","ball",,,,,2,"David Bote walks.   Kris Bryant scores.    Willson Contreras to 3rd.    Tommy La Stella to 2nd.  ","R","R","R","CHC","STL","B","null","null",3,1,2018,"-1.0437","0.8423","0.1724","3.4824",592178,575929,600303,2,8,"Bot","null","null",,,425877,,"180928_211016","6.3289","-141.6921","-4.1104","-15.5979","29.3755","-19.9746","3.3876","1.6087","null","null","null","98.3290","2021","6.6160",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"53.8806","null","null","0.70",1,0,0,"null",70,"5","Sinker",5,2,5,2,2,5,5,2,"Standard","Standard"
"SI","2018-09-28","98.8","-1.2198","6.2700","Jordan Hicks",623520,663855,"null","called_strike",,,,,5,"null","R","R","R","CHC","STL","S","null","null",3,0,2018,"-1.1383","0.9898","-0.0187","2.4304",592178,575929,600303,2,8,"Bot","null","null",,,425877,,"180928_210954","5.9843","-143.7598","-7.4188","-17.3098","31.4084","-16.8281","3.1304","1.5384","null","null","null","99.6380","2086","6.6250",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"53.8715","null","null","null","null","null","null","null",70,"4","Sinker",5,2,5,2,2,5,5,2,"Standard","Standard"
"SI","2018-09-28","99.6","-1.1955","6.4096","Jordan Hicks",623520,663855,"null","ball",,,,,11,"null","R","R","R","CHC","STL","B","null","null",2,0,2018,"-0.9617","1.0528","-1.4295","3.6148",592178,575929,600303,2,8,"Bot","null","null",,,425877,,"180928_210932","1.6425","-145.0731","-4.8161","-14.0743","33.3436","-16.2733","3.3642","1.6555","null","null","null","100.2720","2024","6.5640",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"53.9326","null","null","null","null","null","null","null",70,"3","Sinker",5,2,5,2,2,5,5,2,"Standard","Standard"
"SI","2018-09-28","99.8","-0.9568","6.3122","Jordan Hicks",623520,663855,"null","ball",,,,,6,"null","R","R","R","CHC","STL","B","null","null",1,0,2018,"-1.6468","0.5790","0.7151","2.4580",592178,575929,600303,2,8,"Bot","null","null",,,425877,,"180928_210854","8.4742","-144.8735","-6.5147","-25.2059","36.2974","-22.6545","3.4834","1.5903","null","null","null","99.4310","2043","6.3800",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"54.1170","null","null","null","null","null","null","null",70,"2","Sinker",5,2,5,2,2,5,5,2,"Standard","Standard"
"SL","2018-09-28","85.5","-1.1279","6.3765","Jordan Hicks",623520,663855,"null","ball",,,,,14,"null","R","R","R","CHC","STL","B","null","null",0,0,2018,"1.1176","-0.1635","0.9482","1.4659",592178,575929,600303,2,8,"Bot","null","null",,,425877,,"180928_210832","2.6617","-124.3656","-4.8978","10.7863","25.7863","-33.0693","3.4577","1.6087","null","null","null","84.5590","2368","5.7710",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"54.7260","null","null","null","null","null","null","null",70,"1","Slider",5,2,5,2,2,5,5,2,"Standard","Standard"
"SI","2018-09-28","96.7","-1.3491","6.2142","Jordan Hicks",600303,663855,"walk","ball",,,,,11,"Tommy La Stella walks.  ","R","L","R","CHC","STL","B","null","null",3,1,2018,"-1.2090","0.7238","-0.1568","3.6225",592178,575929,"null",2,8,"Bot","null","null",,,425877,,"180928_210750","5.9535","-140.7036","-3.0126","-17.4431","31.8486","-22.0660","3.0135","1.3509","null","null","null","96.9320","1974","6.4170",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"54.0795","null","null","0.70",1,0,0,"null",69,"5","Sinker",5,2,5,2,2,5,5,2,"Standard","Standard"
"SI","2018-09-28","98.0","-1.1001","6.2953","Jordan Hicks",600303,663855,"null","called_strike",,,,,3,"null","R","L","R","CHC","STL","S","null","null",3,0,2018,"-1.2836","1.0841","0.2904","3.1358",592178,575929,"null",2,8,"Bot","null","null",,,425877,,"180928_210725","6.7556","-142.5233","-5.5837","-19.1216","32.3855","-16.2582","3.0363","1.6020","null","null","null","98.3390","2053","6.4830",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"54.0138","null","null","null","null","null","null","null",69,"4","Sinker",5,2,5,2,2,5,5,2,"Standard","Standard"
"SI","2018-09-28","98.9","-1.0965","6.3135","Jordan Hicks",600303,663855,"null","ball",,,,,11,"null","R","L","R","CHC","STL","B","null","null",2,0,2018,"-1.5160","0.7323","-1.4829","3.9441",592178,575929,"null",2,8,"Bot","null","null",,,425877,,"180928_210701","2.4594","-143.9989","-2.7087","-21.5113","34.7815","-21.6473","3.0135","1.5384","null","null","null","98.6470","1973","6.2030",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"54.2932","null","null","null","null","null","null","null",69,"3","Sinker",5,2,5,2,2,5,5,2,"Standard","Standard"
"SI","2018-09-28","98.1","-0.8631","6.5229","Jordan Hicks",600303,663855,"null","ball",,,,,13,"null","R","L","R","CHC","STL","B","null","null",1,0,2018,"-1.2200","0.9003","-1.0909","2.2646",592178,575929,"null",2,8,"Bot","null","null",,,425877,,"180928_210635","2.2138","-142.7045","-8.1292","-17.1976","33.1530","-18.1869","3.0603","1.5618","null","null","null","98.2340","1948","6.4010",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"54.0952","null","null","null","null","null","null","null",69,"2","Sinker",5,2,5,2,2,5,5,2,"Standard","Standard"
"SI","2018-09-28","99.4","-1.0892","6.3304","Jordan Hicks",600303,663855,"null","ball",,,,,13,"null","R","L","R","CHC","STL","B","null","null",0,0,2018,"-1.4743","0.8758","-0.3477","1.0321",592178,575929,"null",2,8,"Bot","null","null",,,425877,,"180928_210612","5.4792","-144.3912","-11.1458","-21.8963","32.9765","-17.5746","3.0837","1.5618","null","null","null","99.4120","1911","6.3460",531804,663855,425877,572761,543939,576397,657557,542303,664056,500874,"54.1510","null","null","null","null","null","null","null",69,"1","Sinker",5,2,5,2,2,5,5,2,"Standard","Standard"
