pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,fielder_2,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher_1,fielder_2_1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,four_seam,curve_ball,cutter,unnamed_pitch,sinker,slider,changeup,two_seam,split_finger,knuckle_curve,forkball,eephus,pitch_out,screwball,knuckle_ball,strike,up_zone,mid_zone,down_zone,hit,swinging_strike,chapman,betances,britton,green,ottavino,id,pitch_count
FT,2018-03-29,94.7,-2.578,5.4702,Adam Ottavino,488671,493603,strikeout,swinging_strike,1,Alex Avila strikes out swinging.,R,L,R,ARI,COL,S,2,null,2,2,2018,-1.191,0.7064,-0.3711,3.0289,null,null,518614,2,8,Bot,null,null,455104,180330_053833,8.5013,-137.6595,-2.2825,-17.2059,31.1773,-22.7973,3.2176,1.3591,null,null,null,95.165,2397,6.665,529410,493603,455104,435622,518934,571448,596115,467827,453568,471865,53.8374,null,null,0.00,1,0,0,null,74,5,2-Seam Fastball,8,2,8,2,2,8,8,2,Infield shift,Standard,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,8,1
FT,2018-03-29,93.9,-2.3309,5.4823,Adam Ottavino,488671,493603,null,ball,11,null,R,L,R,ARI,COL,B,null,null,1,2,2018,-1.2809,0.5239,-1.4965,2.7592,null,null,518614,2,8,Bot,null,null,455104,180330_053803,5.1471,-136.7842,-2.5643,-17.6041,30.0653,-25.0508,3.3062,1.72,null,null,null,95.314,2254,7.045,529410,493603,455104,435622,518934,571448,596115,467827,453568,471865,53.4572,null,null,null,null,null,null,null,74,4,2-Seam Fastball,8,2,8,2,2,8,8,2,Infield shift,Standard,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,2
SL,2018-03-29,81.5,-2.9566,5.2991,Adam Ottavino,488671,493603,null,called_strike,8,null,R,L,R,ARI,COL,S,null,null,1,1,2018,1.4671,0.1378,0.0395,2.0744,null,null,518614,2,8,Bot,null,null,455104,180330_053735,3.9234,-118.5712,-0.8665,12.8262,24.2333,-30.962,3.3376,1.7358,null,null,null,80.924,2910,6.066,529410,493603,455104,435622,518934,571448,596115,467827,453568,471865,54.4356,null,null,null,null,null,null,null,74,3,Slider,8,2,8,2,2,8,8,2,Infield shift,Standard,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,13,3
FT,2018-03-29,93.8,-2.7675,5.2869,Adam Ottavino,488671,493603,null,ball,14,null,R,L,R,ARI,COL,B,null,null,0,1,2018,-1.2174,0.5117,1.8397,1.0194,null,null,518614,2,8,Bot,null,null,455104,180330_053703,14.6748,-135.8329,-6.4084,-18.4594,29.7973,-24.5605,3.3319,1.72,null,null,null,94.012,2347,6.686,529410,493603,455104,435622,518934,571448,596115,467827,453568,471865,53.816,null,null,null,null,null,null,null,74,2,2-Seam Fastball,8,2,8,2,2,8,8,2,Infield shift,Standard,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,14,4
SL,2018-03-29,81.4,-2.91,5.3112,Adam Ottavino,488671,493603,null,called_strike,9,null,R,L,R,ARI,COL,S,null,null,0,0,2018,1.3285,0.2652,0.43,2.1481,null,null,518614,2,8,Bot,null,null,455104,180330_053636,4.9473,-118.4236,-0.9447,11.3716,24.6928,-29.7366,3.3376,1.6842,null,null,null,81.141,2802,6.337,529410,493603,455104,435622,518934,571448,596115,467827,453568,471865,54.1651,null,null,null,null,null,null,null,74,1,Slider,8,2,8,2,2,8,8,2,Infield shift,Standard,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,15,5
FT,2018-03-29,93,-2.7524,5.4039,Adam Ottavino,518614,493603,walk,ball,11,Daniel Descalso walks.,R,L,R,ARI,COL,B,null,null,3,1,2018,-1.0477,0.5196,-0.4736,3.9613,null,null,null,2,8,Bot,null,null,455104,180330_053557,8.2953,-135.2795,0.9413,-14.9606,29.8967,-26.056,3.2181,1.5994,null,null,null,94.074,2336,6.972,529410,493603,455104,435622,518934,571448,596115,467827,453568,471865,53.5305,null,null,0.70,1,0,0,null,73,5,2-Seam Fastball,8,2,8,2,2,8,8,2,Strategic,Standard,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,16,6
SL,2018-03-29,81.3,-3.0023,5.3732,Adam Ottavino,518614,493603,null,ball,11,null,R,L,R,ARI,COL,B,null,null,2,1,2018,1.4841,0.2786,-2.3495,4.1158,null,null,null,2,8,Bot,null,null,455104,180330_053536,-1.3578,-118.293,3.3044,14.0262,24.469,-30.5209,3.1408,1.5736,null,null,null,80.807,2824,6.152,529410,493603,455104,435622,518934,571448,596115,467827,453568,471865,54.3504,null,null,null,null,null,null,null,73,4,Slider,8,2,8,2,2,8,8,2,Standard,Standard,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,17,7
SL,2018-03-29,81,-2.8114,5.3412,Adam Ottavino,518614,493603,null,called_strike,2,null,R,L,R,ARI,COL,S,null,null,2,0,2018,1.5775,0.2614,-0.1549,3.0037,null,null,null,2,8,Bot,null,null,455104,180330_053520,2.9283,-117.7957,0.992,13.8488,24.8381,-30.2348,3.2181,1.522,null,null,null,80.399,2760,6.164,529410,493603,455104,435622,518934,571448,596115,467827,453568,471865,54.3385,null,null,null,null,null,null,null,73,3,Slider,8,2,8,2,2,8,8,2,Standard,Standard,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,18,8
FT,2018-03-29,93.9,-2.7352,5.3868,Adam Ottavino,518614,493603,null,ball,14,null,R,L,R,ARI,COL,B,null,null,1,0,2018,-1.366,0.5398,1.0612,1.3278,null,null,null,2,8,Bot,null,null,455104,180330_053500,12.9205,-136.129,-5.9783,-19.9529,29.1127,-24.297,3.1666,1.5736,null,null,null,94.261,2407,6.651,529410,493603,455104,435622,518934,571448,596115,467827,453568,471865,53.8512,null,null,null,null,null,null,null,73,2,2-Seam Fastball,8,2,8,2,2,8,8,2,Standard,Standard,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,19,9
SL,2018-03-29,82.3,-2.9663,5.441,Adam Ottavino,518614,493603,null,ball,14,null,R,L,R,ARI,COL,B,null,null,0,0,2018,1.5318,0.1777,0.9599,1.7549,null,null,null,2,8,Bot,null,null,455104,180330_053445,5.9336,-119.6328,-2.1058,13.2487,24.8129,-30.3038,3.2181,1.5736,null,null,null,81.631,2820,6.068,529410,493603,455104,435622,518934,571448,596115,467827,453568,471865,54.4337,null,null,null,null,null,null,null,73,1,Slider,8,2,8,2,2,8,8,2,Standard,Standard,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,20,10
