"","pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","fielder_2","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","four_seam","curve_ball","cutter","unnamed_pitch","sinker","slider","changeup","two_seam","split_finger","knuckle_curve","forkball","eephus","pitch_out","screwball","knuckle_ball","strike","up_zone","mid_zone","down_zone","hit","swinging_strike","chapman","betances","britton","green","ottavino","id","pitch_count"
"1","FF",2018-09-24,96,-2.0368,6.2141,"Chad Green",605480,643338,"null","swinging_strike",1,"null","R","L","R","TB","NYY","S","null","null",0,0,2018,-0.3639,1.7261,-0.4683,3.0762,"null","null","null",2,5,"Bot","null","null",596142,"null",4.9576,-139.4489,-6.4965,-5.9366,35.2301,-8.563,3.301,1.504,"null","null","null",95.255,"2460",6.235,531749,643338,596142,572228,650402,609280,588751,457705,458731,592450,54.2627,"null","null","null","null","null","null","null",41,1,"4-Seam Fastball",1,3,1,3,3,1,1,3,"Standard","Standard",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,5068,3
"2","FF",2018-09-28,97.4,-1.8366,6.0962,"Dellin Betances",605141,476454,"walk","ball",12,"Mookie Betts walks.","R","R","R","BOS","NYY","B","null","null",3,2,2018,-0.3653,1.4249,2.085,2.4803,"null","null","null",0,8,"Bot","null","null",596142,"180929_020052",11.3254,-141.3297,-7.4258,-7.3214,30.1857,-11.6704,3.2526,1.5473,"null","null","null",97.329,"2399",6.266,531801,476454,596142,572228,650402,609280,544369,457705,543305,592450,54.2345,"null","null","0.70","1","0","0","null",69,6,"4-Seam Fastball",4,11,4,11,11,4,4,11,"Standard","Standard",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5190,25
"3","KC",2018-05-23,85.1,-1.5891,6.0116,"Dellin Betances",542208,476454,"null","foul_tip",9,"null","R","R","R","TEX","NYY","S","null","null",0,1,2018,0.5048,-0.443,0.5871,1.7889,"null","null","null",2,7,"Bot","null","null",519222,"180524_015246",4.0742,-123.6658,-2.599,4.1364,27.9718,-36.2905,3.2153,1.3871,"null","null","null",84.018,"2613",5.96,530141,476454,519222,435522,650402,609280,544369,458731,543305,592450,54.5393,"null","null","null","null","null","null","null",74,2,"Knuckle Curve",11,10,11,10,10,11,11,10,"Standard","Standard",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1537,22
"4","FF",2018-09-09,96.2,-1.9709,6.022,"Chad Green",596129,643338,"null","ball",13,"null","R","L","R","SEA","NYY","B","null","null",0,1,2018,-0.4411,1.5236,-0.7665,1.0011,"null","null","null",0,7,"Bot","null","null",596142,"180909_223335",4.1288,-139.6254,-11.0056,-6.5667,29.4014,-10.403,3.2317,1.5687,"null","null","null",95.45,"2521",5.854,531549,643338,596142,572228,650402,435522,588751,519317,458731,457705,54.6457,"null","null","null","null","null","null","null",56,2,"4-Seam Fastball",2,2,2,2,2,2,2,2,"Strategic","Standard",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4598,17
"5","FT",2018-08-05,93.6,-2.6623,5.4612,"Adam Ottavino",456124,493603,"null","foul",6,"null","R","R","R","MIL","COL","S","null","null",2,2,2018,-0.7273,0.3334,0.5618,2.8455,"null","460075","null",2,9,"Bot","null","null",608596,"180805_210052",10.0077,-136.0842,-1.7867,-11.2404,27.9504,-27.7807,3.47,1.55,"216","75.8","48",94.446,"2146",6.688,531083,493603,608596,435622,518934,571448,596115,467827,453568,471865,53.8118,"null","null","null","null","null","null","null",75,6,"2-Seam Fastball",2,4,2,4,4,2,2,4,"Strategic","Standard",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,3597,10
"6","KC",2018-07-10,85.6,-1.6135,5.9319,"Dellin Betances",570731,476454,"null","ball",14,"null","R","R","R","BAL","NYY","B","null","null",0,0,2018,0.7794,-0.3366,1.3683,2.3723,"543376","430945","592518",2,9,"Bot","null","null",519222,"180711_021354",5.4513,-124.4746,-1.4344,6.9012,25.1569,-35.5742,3.5045,1.7242,"null","null","null",85.098,"2558",6.019,530779,476454,519222,595885,642180,609280,544369,458731,543305,592450,54.4818,"null","null","null","null","null","null","null",75,1,"Knuckle Curve",5,5,5,5,5,5,5,5,"Standard","Standard",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2873,3
"7","FF",2018-08-21,96.9,-1.8953,6.2164,"Dellin Betances",595375,476454,"null","foul",11,"null","R","L","R","MIA","NYY","S","null","null",0,2,2018,-0.6031,1.3715,-0.9523,3.7721,"null","null","null",0,8,"Bot","null","null",519222,"180822_012618",3.8709,-141.0433,-4.0846,-8.8591,31.7669,-13.3149,3.3533,1.6538,"134","84.6","7",96.657,"2338",6.115,531297,476454,519222,595885,435522,609280,650402,458731,543305,519317,54.3863,"null","null","null","null","null","null","null",58,3,"4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,4094,13
"8","FF",2018-04-25,97,-1.6844,6.2891,"Chad Green",489149,643338,"null","called_strike",6,"null","R","L","R","NYY","MIN","S","null","null",0,0,2018,-0.0678,1.7776,0.8067,2.7212,"408045","593934","500871",2,5,"Top","null","null",519222,"180426_004413",6.7735,-140.8161,-7.9352,-2.4882,33.1952,-7.167,3.4208,1.492,"null","null","null",96.292,"2552",6.1,529768,643338,519222,592122,650402,609280,544369,519317,458731,592450,54.3985,"null","null","null","null","null","null","null",47,1,"4-Seam Fastball",6,3,3,6,3,6,3,6,"Strategic","Standard",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,759,34
"9","SI",2018-08-05,95.4,0.6409,6.4219,"Zach Britton",456665,502154,"field_out","hit_into_play",5,"Steve Pearce grounds out, shortstop Didi Gregorius to first baseman Greg Bird.","R","R","L","BOS","NYY","X","6","ground_ball",2,1,2018,0.6545,0.6315,-0.233,2.857,"506702","null","null",2,7,"Bot","109.82","146.13",519222,"180806_032630",-3.6589,-138.6933,-5.0715,8.9949,28.6397,-23.4176,3.54,1.55,"137","93.2","8",94.211,"2149",5.473,531089,502154,519222,595885,650402,609280,544369,458731,543305,453203,55.0273,"0.605","0.548","0.00","1","0","0","4",62,4,"Sinker",1,4,1,4,4,1,1,4,"Infield shift","Standard",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3572,1
"10","FT",2018-08-14,94.3,-2.2933,5.513,"Adam Ottavino",621043,493603,"null","ball",14,"null","R","R","R","HOU","COL","B","null","null",0,0,2018,-0.7303,0.8337,1.802,2.3961,"null","null","643603",2,8,"Bot","null","null",547172,"180815_025654",12.5394,-136.9055,-4.3494,-12.323,31.1477,-20.544,3.5414,1.7025,"null","null","null",95.722,"2237",7.306,531199,493603,547172,435622,518934,641857,596115,467827,453568,471865,53.1962,"null","null","null","null","null","null","null",64,1,"2-Seam Fastball",1,4,1,4,4,1,1,4,"Standard","Standard",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3909,2
